ra              dec            obs_date    obs_time    exposure    exposure_times
282.4490265    52.41278941    20180923    190000    1200    3
304.3093068    17.86058717    20180923    204000    1200    3
312.6946265    29.22729497    20180923    222000    1200    3
335.7130004    25.8198787    20180923    240000    1200    3
355.1474636    57.66279543    20180923    254000    1200    3
37.21847518    35.70991088    20180923    272000    1200    3
256.88734    50.05911374    20180924    185900    1200    3
301.9125489    19.02512052    20180924    203900    1200    3
320.2865462    45.28491724    20180924    221900    1200    3
344.4051493    -3.445906167    20180924    235900    1200    3
12.76554757    49.14492071    20180924    253900    1200    3
27.54793941    3.430126813    20180924    271900    1200    3
263.0556638    2.694022656    20180925    185800    1200    3
294.0924217    11.98920095    20180925    203800    1200    3
324.1071285    59.46138252    20180925    221800    1200    3
356.5489945    13.43937157    20180925    235800    1200    3
24.18012063    2.216670948    20180925    253800    1200    3
50.34766924    22.71903485    20180925    271800    1200    3
266.9766195    -5.330772351    20180926    185700    1200    3
300.5065251    1.577905932    20180926    203700    1200    3
307.4758715    50.94474027    20180926    221700    1200    3
342.0204218    31.13941214    20180926    235700    1200    3
19.54956873    31.51318113    20180926    253700    1200    3
44.04839886    8.933681609    20180926    271700    1200    3
285.0554265    34.27894091    20180927    185600    1200    3
308.3951496    56.4203734    20180927    203600    1200    3
336.6552057    41.45623498    20180927    221600    1200    3
348.9684224    5.577767841    20180927    235600    1200    3
10.7888066    32.3198589    20180927    253600    1200    3
31.99327987    36.52799599    20180927    271600    1200    3
283.4571004    42.60461844    20180928    185500    1200    3
288.9191598    42.7167136    20180928    203500    1200    3
329.0951879    27.27858609    20180928    221500    1200    3
359.2400428    45.48396907    20180928    235500    1200    3
1.290736821    45.6066799    20180928    253500    1200    3
53.38441465    25.70369973    20180928    271500    1200    3
280.5321903    29.19432576    20180929    185400    1200    3
299.2748246    11.70113616    20180929    203400    1200    3
309.9226345    57.51187162    20180929    221400    1200    3
350.9430918    11.24597007    20180929    235400    1200    3
27.71374779    46.13433624    20180929    253400    1200    3
24.88562461    -6.425619689    20180929    271400    1200    3
282.9392299    -2.671035699    20180930    185300    1200    3
299.0894278    26.49848696    20180930    203300    1200    3
330.2339485    12.23466489    20180930    221300    1200    3
335.7975811    41.45605728    20180930    235300    1200    3
1.524830789    -6.537225787    20180930    253300    1200    3
37.95719333    -5.740821526    20180930    271300    1200    3
266.5178118    58.54304884    20181001    185200    1200    3
309.0919055    18.44586478    20181001    203200    1200    3
322.2952781    42.81894203    20181001    221200    1200    3
338.3870206    -7.445543068    20181001    235200    1200    3
5.949386013    53.25499763    20181001    253200    1200    3
50.58690048    29.67479872    20181001    271200    1200    3
281.754545    17.61984646    20181002    185100    1200    3
302.6634403    2.828784367    20181002    203100    1200    3
333.8750089    32.738442    20181002    221100    1200    3
0.7048862104    -0.1095179141    20181002    235100    1200    3
11.51967733    46.12834128    20181002    253100    1200    3
51.92312484    22.99995961    20181002    271100    1200    3
284.6614857    59.57844076    20181003    185000    1200    3
296.3704916    49.31456808    20181003    203000    1200    3
340.2518944    3.425026571    20181003    221000    1200    3
7.088934503    20.77571277    20181003    235000    1200    3
20.64493842    -0.5040088574    20181003    253000    1200    3
49.85639811    22.29742589    20181003    271000    1200    3
272.1149927    4.479967945    20181004    184900    1200    3
312.5988139    17.60749362    20181004    202900    1200    3
338.7927968    40.09560543    20181004    220900    1200    3
353.8730795    15.32039702    20181004    234900    1200    3
33.05736664    58.04760912    20181004    252900    1200    3
50.78875291    35.79957932    20181004    270900    1200    3
265.593985    31.73798808    20181005    184800    1200    3
291.6842681    13.20720633    20181005    202800    1200    3
334.6787008    37.27784712    20181005    220800    1200    3
355.3064634    18.63226549    20181005    234800    1200    3
15.25084535    42.11538235    20181005    252800    1200    3
57.37965784    37.32255736    20181005    270800    1200    3
293.9873954    27.42723774    20181006    184700    1200    3
291.3881192    16.46311247    20181006    202700    1200    3
329.7640169    37.30255807    20181006    220700    1200    3
346.0076877    52.55771607    20181006    234700    1200    3
12.71977302    12.50600718    20181006    252700    1200    3
55.17622275    6.602795499    20181006    270700    1200    3
78.17564243    5.085231141    20181006    284700    1200    3
277.9213658    42.69711631    20181007    184600    1200    3
296.5596215    -0.6593237452    20181007    202600    1200    3
333.8530186    16.14846933    20181007    220600    1200    3
1.131001403    35.13593095    20181007    234600    1200    3
10.58633531    44.79513135    20181007    252600    1200    3
44.53523841    4.641207562    20181007    270600    1200    3
66.24586359    34.76972407    20181007    284600    1200    3
273.8316141    37.62480801    20181008    184500    1200    3
309.017819    -9.504008143    20181008    202500    1200    3
338.1144448    50.47306256    20181008    220500    1200    3
351.6739706    33.7064915    20181008    234500    1200    3
17.21896572    31.26965658    20181008    252500    1200    3
32.0048387    33.08244667    20181008    270500    1200    3
71.95159994    33.47116193    20181008    284500    1200    3
291.9695109    -0.0252920434    20181009    184400    1200    3
295.7830201    -3.225323442    20181009    202400    1200    3
333.1068724    12.80234402    20181009    220400    1200    3
356.3025554    -0.6444874717    20181009    234400    1200    3
34.6409086    -7.932694196    20181009    252400    1200    3
32.22688043    57.10893114    20181009    270400    1200    3
86.6728484    16.56080188    20181009    284400    1200    3
285.2945064    4.067926797    20181010    184300    1200    3
311.7814752    41.42548088    20181010    202300    1200    3
328.71016    14.97517039    20181010    220300    1200    3
8.953284178    36.23086871    20181010    234300    1200    3
11.88654616    2.12185545    20181010    252300    1200    3
57.07220406    34.35627901    20181010    270300    1200    3
73.05945387    20.19075152    20181010    284300    1200    3
275.580052    -7.974574775    20181011    184200    1200    3
320.738644    32.56136235    20181011    202200    1200    3
328.6628075    49.78556658    20181011    220200    1200    3
4.899296308    35.56531795    20181011    234200    1200    3
36.05947048    -0.03568810748    20181011    252200    1200    3
59.42374071    56.20168512    20181011    270200    1200    3
60.1041679    54.29288601    20181011    284200    1200    3
295.5090365    41.25770705    20181012    184100    1200    3
301.7704891    24.87634264    20181012    202100    1200    3
328.2828891    41.11812555    20181012    220100    1200    3
346.7120663    51.84874863    20181012    234100    1200    3
14.78041102    50.68785333    20181012    252100    1200    3
51.32333097    23.64184789    20181012    270100    1200    3
65.79220278    5.181432641    20181012    284100    1200    3
299.2047035    52.86495911    20181013    184000    1200    3
