RA              DEC            OBS_DATE    OBS_TIME    EXPOSURE    EXPOSURE_TIMES    PLATECLASS
260.6906932    -4.04772859    20180923    190000    1200    3     FDP
296.8116978    17.86058717    20180923    204000    1200    3     FDP
334.8525364    46.66966574    20180923    222000    1200    3     FDP
349.5899618    57.66279543    20180923    240000    1200    3     FDP
3.820784476    57.30731767    20180923    254000    1200    3     FDP
43.69353596    19.02512052    20180923    272000    1200    3     FDP
268.7011191    28.09909612    20180924    185900    1200    3     FDP
286.489102    49.14492071    20180924    203900    1200    3     FDP
323.1075783    44.62567334    20180924    221900    1200    3     FDP
0.5024972692    11.98920095    20180924    235900    1200    3     FDP
358.0198794    1.474568501    20180924    253900    1200    3     FDP
34.75577684    2.216670948    20180924    271900    1200    3     FDP
268.1601415    37.18788795    20180925    185800    1200    3     FDP
307.5858411    1.577905932    20180925    203800    1200    3     FDP
314.1170979    37.08568258    20180925    221800    1200    3     FDP
339.5811016    31.51318113    20180925    235800    1200    3     FDP
1.00485036    -3.284883988    20180925    253800    1200    3     FDP
43.5193388    56.4203734    20180925    271800    1200    3     FDP
274.3445267    22.58479227    20180926    185700    1200    3     FDP
302.1405697    32.3198589    20180926    203700    1200    3     FDP
331.9475069    2.155654699    20180926    221700    1200    3     FDP
348.1765369    42.7167136    20180926    235700    1200    3     FDP
24.57592985    0.3287889926    20180926    253700    1200    3     FDP
37.5015856    45.6066799    20180926    271700    1200    3     FDP
273.0585088    10.69155604    20180927    185600    1200    3     FDP
311.8669926    11.70113616    20180927    203600    1200    3     FDP
309.6195855    21.39945236    20180927    221600    1200    3     FDP
334.4652106    46.13433624    20180927    235600    1200    3     FDP
13.97723886    6.786241393    20180927    253600    1200    3     FDP
32.46247543    26.49848696    20180927    271600    1200    3     FDP
287.2751692    58.45008848    20180928    185500    1200    3     FDP
285.4920289    -6.537225787    20180928    203500    1200    3     FDP
315.4414278    46.81399473    20180928    221500    1200    3     FDP
356.3033561    18.44586478    20180928    235500    1200    3     FDP
23.58394732    54.11917419    20180928    253500    1200    3     FDP
40.67015183    53.25499763    20180928    271500    1200    3     FDP
273.3365597    12.97272837    20180929    185400    1200    3     FDP
302.7164751    2.828784367    20180929    203400    1200    3     FDP
329.4803227    3.755265509    20180929    221400    1200    3     FDP
348.5428398    46.12834128    20180929    235400    1200    3     FDP
20.36284177    7.900977813    20180929    253400    1200    3     FDP
30.15358282    49.31456808    20180929    271400    1200    3     FDP
271.8217282    -9.429736063    20180930    185300    1200    3     FDP
298.9750873    -0.5040088574    20180930    203300    1200    3     FDP
315.6011861    38.88723935    20180930    221300    1200    3     FDP
356.6028785    17.60749362    20180930    235300    1200    3     FDP
0.1426333564    23.11837013    20180930    253300    1200    3     FDP
44.76172447    58.04760912    20180930    271300    1200    3     FDP
287.9823986    55.81403494    20181001    185200    1200    3     FDP
306.1286011    13.20720633    20181001    203200    1200    3     FDP
329.4158213    21.48491869    20181001    221200    1200    3     FDP
356.1477627    42.11538235    20181001    235200    1200    3     FDP
29.01188079    -8.726144871    20181001    253200    1200    3     FDP
46.13919155    16.46311247    20181001    271200    1200    3     FDP
283.4135603    44.89317323    20181002    185100    1200    3     FDP
293.7154838    12.50600718    20181002    203100    1200    3     FDP
328.9453009    4.834612097    20181002    221100    1200    3     FDP
340.603147    42.69711631    20181002    235100    1200    3     FDP
10.73566526    16.63184539    20181002    253100    1200    3     FDP
50.08362772    35.13593095    20181002    271100    1200    3     FDP
281.3541364    26.70666593    20181003    185000    1200    3     FDP
307.7439653    34.76972407    20181003    203000    1200    3     FDP
320.2188885    17.95842239    20181003    221000    1200    3     FDP
356.0646868    50.47306256    20181003    235000    1200    3     FDP
31.32849463    33.82241333    20181003    253000    1200    3     FDP
45.9638313    33.08244667    20181003    271000    1200    3     FDP
289.0169799    1.115585607    20181004    184900    1200    3     FDP
297.8390998    -3.225323442    20181004    202900    1200    3     FDP
315.1590914    26.0051486    20181004    220900    1200    3     FDP
6.827637155    -7.932694196    20181004    234900    1200    3     FDP
15.23882697    -9.858868483    20181004    252900    1200    3     FDP
50.10615847    4.067926797    20181004    270900    1200    3     FDP
267.3133825    33.7651822    20181005    184800    1200    3     FDP
293.9950809    36.23086871    20181005    202800    1200    3     FDP
328.2072128    2.58707941    20181005    220800    1200    3     FDP
339.6680394    20.19075152    20181005    234800    1200    3     FDP
23.33719254    -4.256836115    20181005    252800    1200    3     FDP
48.32799341    49.78556658    20181005    270800    1200    3     FDP
268.3095926    -5.005431122    20181006    184700    1200    3     FDP
317.0874273    56.20168512    20181006    202700    1200    3     FDP
336.6961776    -2.009974072    20181006    220700    1200    3     FDP
1.441101425    24.87634264    20181006    234700    1200    3     FDP
28.68625564    53.5162897    20181006    252700    1200    3     FDP
43.95126815    50.68785333    20181006    270700    1200    3     FDP
54.99529648    43.99597129    20181006    284700    1200    1     FDP
267.8319888    52.86495911    20181007    184600    1200    3     FDP
319.8879837    1.59747324    20181007    202600    1200    3     FDP
340.2137003    54.76132057    20181007    220600    1200    3     FDP
346.9326036    2.872546557    20181007    234600    1200    3     FDP
6.906381747    17.25512132    20181007    252600    1200    3     FDP
50.39180755    50.23378901    20181007    270600    1200    3     FDP
75.16770528    -9.258180343    20181007    284600    1200    1     FDP
294.5555209    55.8572755    20181008    184500    1200    3     FDP
302.2338458    -2.393951286    20181008    202500    1200    3     FDP
327.8033815    0.4160636641    20181008    220500    1200    3     FDP
10.25900903    0.9507382448    20181008    234500    1200    3     FDP
11.54515506    47.82288905    20181008    252500    1200    3     FDP
41.3298771    23.0482353    20181008    270500    1200    3     FDP
67.79960852    36.56763569    20181008    284500    1200    1     FDP
294.9664838    43.38475405    20181009    184400    1200    3     FDP
297.5467045    26.16035883    20181009    202400    1200    3     FDP
343.7273694    13.06797948    20181009    220400    1200    3     FDP
5.830028951    4.109306414    20181009    234400    1200    3     FDP
35.13751938    47.65059137    20181009    252400    1200    3     FDP
54.74216577    -0.3358066133    20181009    270400    1200    3     FDP
60.08455309    5.387739846    20181009    284400    1200    1     FDP
295.0793904    52.21854957    20181010    184300    1200    3     FDP
309.5355872    55.04677567    20181010    202300    1200    3     FDP
344.2214408    0.2501100781    20181010    220300    1200    3     FDP
350.0363711    16.87389805    20181010    234300    1200    3     FDP
21.58219155    48.15616989    20181010    252300    1200    3     FDP
59.22712329    54.64741683    20181010    270300    1200    3     FDP
69.83747808    32.56620763    20181010    284300    1200    1     FDP
282.5912566    39.89762637    20181011    184200    1200    3     FDP
306.9442663    11.22691889    20181011    202200    1200    3     FDP
331.3822265    9.540534689    20181011    220200    1200    3     FDP
343.9875151    40.95834467    20181011    234200    1200    3     FDP
13.09833369    4.369761817    20181011    252200    1200    3     FDP
47.7573855    18.37128978    20181011    270200    1200    3     FDP
74.22019913    34.623781    20181011    284200    1200    1     FDP
288.5902896    -3.614853376    20181012    184100    1200    3     FDP
312.4539517    -4.304420212    20181012    202100    1200    3     FDP
331.8536801    27.48344691    20181012    220100    1200    3     FDP
2.822985687    10.55247564    20181012    234100    1200    3     FDP
23.76324874    26.93394497    20181012    252100    1200    3     FDP
62.82903763    54.39831075    20181012    270100    1200    3     FDP
75.50140209    48.22175324    20181012    284100    1200    1     FDP
292.6423214    36.05029939    20181013    184000    1200    3     FDP
307.8564592    58.56984975    20181013    202000    1200    3     FDP
321.4133487    51.40891541    20181013    220000    1200    3     FDP
1.061773494    29.07976427    20181013    234000    1200    3     FDP
18.69566706    35.98078281    20181013    252000    1200    3     FDP
46.04772125    26.30303233    20181013    270000    1200    3     FDP
82.09040879    33.08355906    20181013    284000    1200    1     FDP
299.5279398    25.83631958    20181014    183900    1200    3     FDP
296.2496898    57.44323406    20181014    201900    1200    3     FDP
334.8086756    43.87486571    20181014    215900    1200    3     FDP
4.438970305    8.485509963    20181014    233900    1200    3     FDP
29.63070635    55.68664393    20181014    251900    1200    3     FDP
63.87085158    17.15352162    20181014    265900    1200    3     FDP
68.66625743    53.96458541    20181014    283900    1200    1     FDP
291.850405    -7.260685366    20181015    183800    1200    3     FDP
322.1399044    57.38338631    20181015    201800    1200    3     FDP
322.8559436    49.32952125    20181015    215800    1200    3     FDP
2.576790907    -2.693090408    20181015    233800    1200    3     FDP
40.11719721    49.56876233    20181015    251800    1200    3     FDP
45.51886187    45.21661151    20181015    265800    1200    3     FDP
90.22109805    16.4081314    20181015    283800    1200    1     FDP
285.5699348    41.43146876    20181016    183700    1200    3     FDP
307.2617915    55.695522    20181016    201700    1200    3     FDP
343.4033414    6.982763261    20181016    215700    1200    3     FDP
12.81583479    26.16237175    20181016    233700    1200    3     FDP
12.59328138    6.941550434    20181016    251700    1200    3     FDP
54.5214655    57.25633304    20181016    265700    1200    3     FDP
87.77350287    9.576648907    20181016    283700    1200    1     FDP
274.3733323    43.78988535    20181017    183600    1200    3     FDP
306.3985735    5.162750843    20181017    201600    1200    3     FDP
348.0514906    21.71262259    20181017    215600    1200    3     FDP
352.2995917    7.619703773    20181017    233600    1200    3     FDP
23.91872827    -9.12731296    20181017    251600    1200    3     FDP
53.72989816    -2.375755077    20181017    265600    1200    3     FDP
73.0778971    36.9089228    20181017    283600    1200    1     FDP
281.5420284    33.82856868    20181018    183500    1200    3     FDP
314.4827408    51.12512719    20181018    201500    1200    3     FDP
341.831992    56.59081627    20181018    215500    1200    3     FDP
350.1280236    51.77279823    20181018    233500    1200    3     FDP
42.34061403    2.733391107    20181018    251500    1200    3     FDP
46.5940284    42.59981405    20181018    265500    1200    3     FDP
66.44765664    42.77230371    20181018    283500    1200    1     FDP
303.1522199    15.24926954    20181019    183400    1200    3     FDP
306.2086799    25.19660969    20181019    201400    1200    3     FDP
345.0103385    19.72191377    20181019    215400    1200    3     FDP
15.117604    2.210496133    20181019    233400    1200    3     FDP
31.93322519    2.009642805    20181019    251400    1200    3     FDP
57.86567577    47.40757108    20181019    265400    1200    3     FDP
69.124519    47.50430414    20181019    283400    1200    1     FDP
279.4463362    -4.031848256    20181020    183300    1200    3     FDP
313.1065259    48.82983657    20181020    201300    1200    3     FDP
328.9987843    38.69361138    20181020    215300    1200    3     FDP
18.21829579    7.277884168    20181020    233300    1200    3     FDP
23.25556466    3.102709625    20181020    251300    1200    3     FDP
50.15463251    36.34135482    20181020    265300    1200    3     FDP
72.00217359    14.64795182    20181020    283300    1200    2     FDP
277.8692789    53.35126336    20181021    183200    1200    3     FDP
321.9178496    -9.321531083    20181021    201200    1200    3     FDP
339.823934    33.96231152    20181021    215200    1200    3     FDP
352.7844677    26.71761223    20181021    233200    1200    3     FDP
24.96127444    11.72053194    20181021    251200    1200    3     FDP
40.94596303    42.02281992    20181021    265200    1200    3     FDP
92.02451166    2.694801116    20181021    283200    1200    2     FDP
305.809988    17.53979113    20181022    183100    1200    3     FDP
312.7265511    -9.529162099    20181022    201100    1200    3     FDP
332.0844441    35.59718383    20181022    215100    1200    3     FDP
14.097961    13.05061238    20181022    233100    1200    3     FDP
41.17035962    34.04897935    20181022    251100    1200    3     FDP
58.33592084    20.24792441    20181022    265100    1200    3     FDP
79.53674978    -5.698815892    20181022    283100    1200    2     FDP
295.1611407    19.1379398    20181023    183000    1200    3     FDP
304.095787    26.452397    20181023    201000    1200    3     FDP
330.4080783    22.85295275    20181023    215000    1200    3     FDP
19.98717035    50.54077329    20181023    233000    1200    3     FDP
37.80408402    -4.124195435    20181023    251000    1200    3     FDP
58.33938711    40.03850239    20181023    265000    1200    3     FDP
90.96053201    26.82635151    20181023    283000    1200    2     FDP
284.9879116    -9.459647442    20181024    182900    1200    3     FDP
314.3428095    54.44524364    20181024    200900    1200    3     FDP
354.1563492    26.96556474    20181024    214900    1200    3     FDP
0.7942284732    57.59324123    20181024    232900    1200    3     FDP
24.34430792    31.90073209    20181024    250900    1200    3     FDP
71.61535313    22.40135488    20181024    264900    1200    3     FDP
73.55430157    1.925871946    20181024    282900    1200    2     FDP
302.5214459    31.37023285    20181025    182800    1200    3     FDP
318.2761526    40.76518181    20181025    200800    1200    3     FDP
353.3835035    28.59666158    20181025    214800    1200    3     FDP
19.91139687    43.40043316    20181025    232800    1200    3     FDP
22.00934075    3.560588424    20181025    250800    1200    3     FDP
66.11068302    24.22729589    20181025    264800    1200    3     FDP
83.82046318    47.39632002    20181025    282800    1200    2     FDP
292.3032628    41.87612002    20181026    182700    1200    3     FDP
316.2995912    35.92296707    20181026    200700    1200    3     FDP
330.2710922    23.42741511    20181026    214700    1200    3     FDP
18.14163342    -6.980450244    20181026    232700    1200    3     FDP
32.77577137    -9.643267899    20181026    250700    1200    3     FDP
62.40666746    59.92987234    20181026    264700    1200    3     FDP
86.24802393    6.464228682    20181026    282700    1200    2     FDP
283.0022235    28.34832019    20181027    182600    1200    3     FDP
329.6387072    -2.400728179    20181027    200600    1200    3     FDP
